         2636495 function calls (2508677 primitive calls) in 34.254 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.030    0.030 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/diagnostics/infra/formatter.py:1(<module>)
        1    0.000    0.000    0.029    0.029 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/__init__.py:1(<module>)
     1143    0.027    0.000    0.027    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.027    0.027 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/geometry/__init__.py:1(<module>)
      241    0.003    0.000    0.027    0.000 /Users/dleonenko/gym-narde/muzero/training.py:59(get_valid_action_indices)
3526/3317    0.002    0.000    0.027    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/typing.py:426(inner)
    54376    0.026    0.000    0.026    0.000 {built-in method torch._C._get_tracing_state}
    74472    0.026    0.000    0.026    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/nn/modules/module.py:1915(__getattr__)
        1    0.000    0.000    0.025    0.025 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/core.py:1(<module>)
        1    0.000    0.000    0.025    0.025 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/core/expr.py:1(<module>)
        1    0.000    0.000    0.025    0.025 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_functorch/_aot_autograd/autograd_cache.py:1(<module>)
      995    0.007    0.000    0.025    0.000 <frozen posixpath>:391(realpath)
        1    0.000    0.000    0.024    0.024 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_dynamo/variables/base.py:1(<module>)
        1    0.000    0.000    0.024    0.024 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/stages.py:1(<module>)
        1    0.000    0.000    0.024    0.024 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/numpy/indexing.py:1(<module>)
     6761    0.005    0.000    0.024    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2338(sum)
        1    0.000    0.000    0.024    0.024 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/core.py:1(<module>)
        1    0.000    0.000    0.024    0.024 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jaxlib/xla_client.py:1(<module>)
        1    0.000    0.000    0.023    0.023 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_dynamo/guards.py:1(<module>)
      319    0.002    0.000    0.022    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/pjit.py:397(_parse_jit_arguments)
     2289    0.022    0.000    0.022    0.000 {built-in method torch.zeros}
        1    0.000    0.000    0.021    0.021 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/geometry/point.py:1(<module>)
        1    0.000    0.000    0.021    0.021 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/geometry/entity.py:1(<module>)
    11500    0.018    0.000    0.020    0.000 /Users/dleonenko/gym-narde/muzero/mcts.py:318(backpropagate)
     1851    0.002    0.000    0.020    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/nn/modules/activation.py:391(forward)
        1    0.000    0.000    0.019    0.019 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/interpreters/mlir.py:1(<module>)
        1    0.000    0.000    0.019    0.019 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/polys/polytools.py:1(<module>)
     6769    0.006    0.000    0.018    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
     1851    0.018    0.000    0.018    0.000 {built-in method torch.tanh}
        1    0.000    0.000    0.018    0.018 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/matrices/immutable.py:1(<module>)
      907    0.006    0.000    0.017    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/inspect.py:2373(_signature_from_function)
       43    0.000    0.000    0.017    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/multipledispatch/dispatcher.py:147(_)
2667/2111    0.002    0.000    0.017    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_dynamo/trace_rules.py:2898(load_object)
        1    0.000    0.000    0.017    0.017 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/_shard/__init__.py:1(<module>)
        1    0.000    0.000    0.017    0.017 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/_shard/api.py:1(<module>)
        1    0.000    0.000    0.017    0.017 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/core/mul.py:1(<module>)
     1011    0.002    0.000    0.016    0.000 {method 'sort' of 'list' objects}
       44    0.000    0.000    0.016    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_compiler.py:576(_code)
        1    0.000    0.000    0.016    0.016 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/mpmath/__init__.py:1(<module>)
   149003    0.016    0.000    0.016    0.000 {method 'append' of 'list' objects}
       89    0.002    0.000    0.016    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/multipledispatch/conflict.py:56(ordering)
     5580    0.016    0.000    0.016    0.000 {built-in method posix.stat}
